p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y
1.0,-0.25,0.75,-0.35,1.0,-0.5,1.0,-0.25
-1.0,0.25,-0.75,0.35,-1.0,0.5,-1.0,0.25
0.25,-0.2,0.5,-0.475,0.5,-0.2,0.25,-0.2
0.5,-0.2,0.5,-0.475,0.75,-0.35,0.5,-0.2
-0.75,0.35,-0.5,0.475,-0.5,0.2,-0.75,0.35
-0.5,0.2,-0.5,0.475,-0.25,0.2,-0.5,0.2
0.5,0.2,0.75,0.1,0.75,0.35,0.5,0.2
0.75,0.35,0.75,0.1,1.0,0.25,0.75,0.35
1.0,0.25,0.75,0.1,1.0,0.0,1.0,0.25
-1.0,0.0,-0.75,0.1,-1.0,0.25,-1.0,0.0
-1.0,0.25,-0.75,0.1,-0.75,0.35,-1.0,0.25
-0.75,0.35,-0.75,0.1,-0.5,0.2,-0.75,0.35
0.25,0.2,0.333637287570313,0.430152684346344,0.5,0.2,0.25,0.2
0.417274575140626,0.660305368692688,0.333637287570313,0.430152684346344,0.125,0.6,0.417274575140626,0.660305368692688
-0.25,-0.2,-0.333637287570313,-0.430152684346344,-0.5,-0.2,-0.25,-0.2
-0.417274575140626,-0.660305368692688,-0.333637287570313,-0.430152684346344,-0.125,-0.6,-0.417274575140626,-0.660305368692688
-0.5,0.475,-0.475,0.675,-0.25,0.6,-0.5,0.475
0.5,-0.475,0.475,-0.675,0.25,-0.6,0.5,-0.475
0.5,0.2,0.375,0.0,0.25,0.2,0.5,0.2
0.25,-0.2,0.375,0.0,0.5,-0.2,0.25,-0.2
0.0,0.2,0.125,0.0,0.25,0.2,0.0,0.2
0.25,0.2,0.125,0.0,0.375,0.0,0.25,0.2
0.375,0.0,0.125,0.0,0.25,-0.2,0.375,0.0
0.25,-0.2,0.125,0.0,0.0,-0.2,0.25,-0.2
0.0,0.2,-0.125,0.0,-0.25,0.2,0.0,0.2
-0.25,-0.2,-0.125,0.0,0.0,-0.2,-0.25,-0.2
0.0,-0.2,-0.125,0.0,0.125,0.0,0.0,-0.2
0.125,0.0,-0.125,0.0,0.0,0.2,0.125,0.0
-0.25,-0.2,-0.375,0.0,-0.5,-0.2,-0.25,-0.2
-0.5,0.2,-0.375,0.0,-0.25,0.2,-0.5,0.2
-0.25,0.2,-0.375,0.0,-0.125,0.0,-0.25,0.2
-0.125,0.0,-0.375,0.0,-0.25,-0.2,-0.125,0.0
0.0,1.0,-0.125,0.8,-0.25,1.0,0.0,1.0
-0.25,0.6,-0.125,0.8,0.125,0.6,-0.25,0.6
-0.125,-0.6,0.125,-0.8,0.25,-0.6,-0.125,-0.6
0.25,-1.0,0.125,-0.8,0.0,-1.0,0.25,-1.0
0.125,0.6,-0.125,0.4,-0.25,0.6,0.125,0.6
-0.25,0.6,-0.125,0.4,-0.5,0.475,-0.25,0.6
-0.5,0.475,-0.125,0.4,-0.25,0.2,-0.5,0.475
-0.25,0.2,-0.125,0.4,0.0,0.2,-0.25,0.2
0.0,-0.2,0.125,-0.4,0.25,-0.2,0.0,-0.2
0.25,-0.2,0.125,-0.4,0.5,-0.475,0.25,-0.2
0.5,-0.475,0.125,-0.4,0.25,-0.6,0.5,-0.475
0.25,-0.6,0.125,-0.4,-0.125,-0.6,0.25,-0.6
0.417274575140626,0.660305368692688,0.583637287570313,0.505152684346344,0.333637287570313,0.430152684346344,0.417274575140626,0.660305368692688
0.333637287570313,0.430152684346344,0.583637287570313,0.505152684346344,0.5,0.2,0.333637287570313,0.430152684346344
0.5,0.2,0.583637287570313,0.505152684346344,0.75,0.35,0.5,0.2
-0.417274575140626,-0.660305368692688,-0.583637287570313,-0.505152684346344,-0.333637287570313,-0.430152684346344,-0.417274575140626,-0.660305368692688
-0.333637287570313,-0.430152684346344,-0.583637287570313,-0.505152684346344,-0.5,-0.2,-0.333637287570313,-0.430152684346344
-0.5,-0.2,-0.583637287570313,-0.505152684346344,-0.75,-0.35,-0.5,-0.2
1.0,0.0,0.75,-0.125,0.75,0.1,1.0,0.0
0.5,-0.2,0.75,-0.125,0.75,-0.35,0.5,-0.2
0.75,-0.35,0.75,-0.125,1.0,-0.25,0.75,-0.35
1.0,-0.25,0.75,-0.125,1.0,0.0,1.0,-0.25
-0.75,0.1,-0.75,-0.125,-1.0,0.0,-0.75,0.1
-1.0,0.0,-0.75,-0.125,-1.0,-0.25,-1.0,0.0
-1.0,-0.25,-0.75,-0.125,-0.75,-0.35,-1.0,-0.25
-0.75,-0.35,-0.75,-0.125,-0.5,-0.2,-0.75,-0.35
-0.25,-1.0,-0.0625,-0.8,0.0,-1.0,-0.25,-1.0
0.0,-1.0,-0.0625,-0.8,0.125,-0.8,0.0,-1.0
0.125,-0.8,-0.0625,-0.8,-0.125,-0.6,0.125,-0.8
-0.125,-0.6,-0.0625,-0.8,-0.417274575140626,-0.660305368692688,-0.125,-0.6
0.25,1.0,0.0625,0.8,0.0,1.0,0.25,1.0
0.0,1.0,0.0625,0.8,-0.125,0.8,0.0,1.0
-0.125,0.8,0.0625,0.8,0.125,0.6,-0.125,0.8
0.125,0.6,0.0625,0.8,0.417274575140626,0.660305368692688,0.125,0.6
0.125,0.6,0.0625,0.4,0.333637287570313,0.430152684346344,0.125,0.6
0.333637287570313,0.430152684346344,0.0625,0.4,0.25,0.2,0.333637287570313,0.430152684346344
0.25,0.2,0.0625,0.4,0.0,0.2,0.25,0.2
0.0,0.2,0.0625,0.4,-0.125,0.4,0.0,0.2
-0.125,0.4,0.0625,0.4,0.125,0.6,-0.125,0.4
-0.125,-0.6,-0.0625,-0.4,-0.333637287570313,-0.430152684346344,-0.125,-0.6
-0.333637287570313,-0.430152684346344,-0.0625,-0.4,-0.25,-0.2,-0.333637287570313,-0.430152684346344
-0.25,-0.2,-0.0625,-0.4,0.0,-0.2,-0.25,-0.2
0.0,-0.2,-0.0625,-0.4,0.125,-0.4,0.0,-0.2
0.125,-0.4,-0.0625,-0.4,-0.125,-0.6,0.125,-0.4
0.417274575140626,0.660305368692688,0.458637287570313,0.830152684346344,0.0625,0.8,0.417274575140626,0.660305368692688
0.0625,0.8,0.458637287570313,0.830152684346344,0.25,1.0,0.0625,0.8
0.25,1.0,0.458637287570313,0.830152684346344,0.5,1.0,0.25,1.0
-0.417274575140626,-0.660305368692688,-0.458637287570313,-0.830152684346344,-0.0625,-0.8,-0.417274575140626,-0.660305368692688
-0.0625,-0.8,-0.458637287570313,-0.830152684346344,-0.25,-1.0,-0.0625,-0.8
-0.25,-1.0,-0.458637287570313,-0.830152684346344,-0.5,-1.0,-0.25,-1.0
-0.5,0.475,-0.742274575140626,0.526223587092621,-0.75,0.35,-0.5,0.475
-0.75,0.35,-0.742274575140626,0.526223587092621,-1.0,0.5,-0.75,0.35
-1.0,0.5,-0.742274575140626,0.526223587092621,-0.882725424859374,0.601223587092621,-1.0,0.5
0.75,-0.35,0.742274575140626,-0.526223587092621,0.5,-0.475,0.75,-0.35
0.882725424859374,-0.601223587092621,0.742274575140626,-0.526223587092621,1.0,-0.5,0.882725424859374,-0.601223587092621
1.0,-0.5,0.742274575140626,-0.526223587092621,0.75,-0.35,1.0,-0.5
-1.0,0.75,-0.895225424859374,0.889694631307312,-1.0,1.0,-1.0,0.75
-1.0,1.0,-0.895225424859374,0.889694631307312,-0.75,1.0,-1.0,1.0
1.0,-1.0,0.895225424859374,-0.889694631307312,1.0,-0.75,1.0,-1.0
0.5,1.0,0.604774575140626,0.889694631307312,0.458637287570313,0.830152684346344,0.5,1.0
-0.458637287570313,-0.830152684346344,-0.604774575140626,-0.889694631307312,-0.5,-1.0,-0.458637287570313,-0.830152684346344
-1.0,-1.0,-0.895225424859374,-0.889694631307312,-1.0,-0.75,-1.0,-1.0
0.75,0.35,0.816362712429687,0.475611793546311,1.0,0.25,0.75,0.35
1.0,0.25,0.816362712429687,0.475611793546311,1.0,0.5,1.0,0.25
1.0,0.5,0.816362712429687,0.475611793546311,0.882725424859374,0.601223587092621,1.0,0.5
0.882725424859374,0.601223587092621,0.790906781074217,0.589029483865776,0.816362712429687,0.475611793546311,0.882725424859374,0.601223587092621
-1.0,-0.25,-0.816362712429687,-0.475611793546311,-0.75,-0.35,-1.0,-0.25
-0.882725424859374,-0.601223587092621,-0.816362712429687,-0.475611793546311,-1.0,-0.5,-0.882725424859374,-0.601223587092621
-1.0,-0.5,-0.816362712429687,-0.475611793546311,-1.0,-0.25,-1.0,-0.5
-0.816362712429687,-0.475611793546311,-0.731477965677735,-0.544246752206085,-0.75,-0.35,-0.816362712429687,-0.475611793546311
-0.75,-0.35,-0.731477965677735,-0.544246752206085,-0.583637287570313,-0.505152684346344,-0.75,-0.35
-0.583637287570313,-0.505152684346344,-0.731477965677735,-0.544246752206085,-0.646593218925783,-0.61288171086586,-0.583637287570313,-0.505152684346344
0.417274575140626,0.660305368692688,0.552615253248048,0.721517197606102,0.458637287570313,0.830152684346344,0.417274575140626,0.660305368692688
-0.417274575140626,-0.660305368692688,-0.552615253248048,-0.721517197606102,-0.458637287570313,-0.830152684346344,-0.417274575140626,-0.660305368692688
-0.765450849718747,-0.797552825814758,-0.83033813728906,-0.843623728561035,-0.790450849718747,-0.779389262614624,-0.765450849718747,-0.797552825814758
0.5,-1.0,0.4875,-0.8375,0.25,-1.0,0.5,-1.0
0.25,-1.0,0.4875,-0.8375,0.125,-0.8,0.25,-1.0
0.125,-0.8,0.4875,-0.8375,0.25,-0.6,0.125,-0.8
0.25,-0.6,0.4875,-0.8375,0.475,-0.675,0.25,-0.6
0.604774575140626,-0.889694631307312,0.4875,-0.8375,0.5,-1.0,0.604774575140626,-0.889694631307312
0.709549150281253,-0.779389262614624,0.66966186271094,-0.843623728561035,0.734549150281253,-0.797552825814758,0.709549150281253,-0.779389262614624
0.677387287570313,-0.944847315653656,0.66966186271094,-0.843623728561035,0.604774575140626,-0.889694631307312,0.677387287570313,-0.944847315653656
-0.5,1.0,-0.4875,0.8375,-0.25,1.0,-0.5,1.0
-0.25,1.0,-0.4875,0.8375,-0.125,0.8,-0.25,1.0
-0.125,0.8,-0.4875,0.8375,-0.25,0.6,-0.125,0.8
-0.25,0.6,-0.4875,0.8375,-0.475,0.675,-0.25,0.6
-0.604774575140626,0.889694631307312,-0.4875,0.8375,-0.5,1.0,-0.604774575140626,0.889694631307312
-0.709549150281253,0.779389262614624,-0.66966186271094,0.843623728561035,-0.734549150281253,0.797552825814758,-0.709549150281253,0.779389262614624
-0.677387287570313,0.944847315653656,-0.66966186271094,0.843623728561035,-0.604774575140626,0.889694631307312,-0.677387287570313,0.944847315653656
-0.790450849718747,0.779389262614624,-0.83033813728906,0.843623728561035,-0.765450849718747,0.797552825814758,-0.790450849718747,0.779389262614624
-0.75,1.0,-0.83033813728906,0.843623728561035,-0.895225424859374,0.889694631307312,-0.75,1.0
0.765450849718747,-0.797552825814758,0.83033813728906,-0.843623728561035,0.790450849718747,-0.779389262614624,0.765450849718747,-0.797552825814758
0.734549150281253,0.797552825814758,0.65716186271094,0.834541946960968,0.709549150281253,0.779389262614624,0.734549150281253,0.797552825814758
-0.709549150281253,-0.779389262614624,-0.66966186271094,-0.843623728561035,-0.734549150281253,-0.797552825814758,-0.709549150281253,-0.779389262614624
-0.677387287570313,-0.944847315653656,-0.66966186271094,-0.843623728561035,-0.604774575140626,-0.889694631307312,-0.677387287570313,-0.944847315653656
0.604774575140626,0.889694631307312,0.70358093135547,0.917270973480484,0.5,1.0,0.604774575140626,0.889694631307312
0.5,1.0,0.70358093135547,0.917270973480484,0.75,1.0,0.5,1.0
